No.;Pos.;Player;Date of birth (age);Caps;Goals;Club;Country;MarketValue
9;FW;Haris Seferovic;22 February 1992 (aged 29);74;21;Benfica;Switzerland;11000000.0
10;MF;Granit Xhaka;27 September 1992 (aged 28);94;12;Arsenal;Switzerland;25666666.666666668
11;MF;Ruben Vargas;5 August 1998 (aged 22);12;2;FC Augsburg;Switzerland;10666666.666666666
12;GK;Yvon Mvogo;6 June 1994 (aged 27);4;0;PSV Eindhoven;Switzerland;2400000.0
13;DF;Ricardo Rodriguez;25 August 1992 (aged 28);81;9;Torino;Switzerland;4750000.0
14;MF;Steven Zuber;17 August 1991 (aged 29);37;8;Eintracht Frankfurt;Switzerland;3750000.0
15;MF;Djibril Sow;6 February 1997 (aged 24);16;0;Eintracht Frankfurt;Switzerland;8250000.0
16;MF;Christian Fassnacht;11 November 1993 (aged 27);8;3;Young Boys;Switzerland;4250000.0
17;DF;Loris Benito;7 January 1992 (aged 29);12;1;Bordeaux;Switzerland;3350000.0
18;FW;Admir Mehmedi;16 March 1991 (aged 30);74;10;VfL Wolfsburg;Switzerland;7000000.0
19;FW;Mario Gavranović;24 November 1989 (aged 31);30;14;Dinamo Zagreb;Switzerland;1533333.3333333333
20;MF;Edimilson Fernandes;15 April 1996 (aged 25);22;2;Mainz 05;Switzerland;5500000.0
21;GK;Jonas Omlin;10 January 1994 (aged 27);2;0;Montpellier;Switzerland;5400000.0
21;GK;Gregor Kobel;6 December 1997 (aged 23);0;0;VfB Stuttgart;Switzerland;4750000.0
22;DF;Fabian Schär;20 December 1991 (aged 29);60;8;Newcastle United;Switzerland;13000000.0
23;MF;Xherdan Shaqiri;10 October 1991 (aged 29);91;23;Liverpool;Switzerland;17333333.333333332
24;DF;Bećir Omeragić;20 January 2002 (aged 19);4;0;Zürich;Switzerland;2450000.0
25;DF;Eray Cömert;4 February 1998 (aged 23);6;0;Basel;Switzerland;2350000.0
26;DF;Jordan Lotomba;29 September 1998 (aged 22);2;0;Nice;Switzerland;4625000.0
1;GK;Mert Günok;1 March 1989 (aged 32);22;0;İstanbul Başakşehir;Turkey;4600000.0
2;DF;Zeki Çelik;17 February 1997 (aged 24);20;2;Lille;Turkey;18000000.0
3;DF;Merih Demiral;5 March 1998 (aged 23);21;0;Juventus;Turkey;28500000.0
4;DF;Çağlar Söyüncü;23 May 1996 (aged 25);35;2;Leicester City;Turkey;37333333.333333336
5;MF;Okay Yokuşlu;9 March 1994 (aged 27);34;1;West Bromwich Albion;Turkey;6000000.0
6;MF;Ozan Tufan;23 March 1995 (aged 26);60;9;Fenerbahçe;Turkey;6200000.0
7;FW;Cengiz Ünder;14 July 1997 (aged 23);29;9;Leicester City;Turkey;25000000.0
8;MF;Dorukhan Toköz;21 May 1996 (aged 25);9;1;Beşiktaş;Turkey;5450000.0
9;FW;Kenan Karaman;5 March 1994 (aged 27);22;5;Fortuna Düsseldorf;Turkey;2666666.6666666665
10;MF;Hakan Çalhanoğlu;8 February 1994 (aged 27);56;13;Milan;Turkey;25625000.0
11;FW;Yusuf Yazıcı;29 January 1997 (aged 24);31;1;Lille;Turkey;13000000.0
12;GK;Altay Bayındır;14 April 1998 (aged 23);1;0;Fenerbahçe;Turkey;7600000.0
13;DF;Umut Meraş;20 December 1995 (aged 25);13;0;Le Havre;Turkey;1075000.0
14;MF;Taylan Antalyalı;8 January 1995 (aged 26);6;0;Galatasaray;Turkey;1460000.0
15;DF;Ozan Kabak;25 March 2000 (aged 21);12;0;Liverpool;Turkey;28666666.666666668
16;FW;Enes Ünal;10 May 1997 (aged 24);22;2;Getafe;Turkey;6500000.0
17;FW;Burak Yılmaz;15 July 1985 (aged 35);67;29;Lille;Turkey;1550000.0
18;DF;Rıdvan Yılmaz;21 May 2001 (aged 20);2;0;Beşiktaş;Turkey;700000.0
19;MF;Orkun Kökçü;29 December 2000 (aged 20);6;0;Feyenoord;Turkey;14750000.0
20;MF;Abdülkadir Ömür;25 June 1999 (aged 21);9;0;Trabzonspor;Turkey;12625000.0
22;DF;Kaan Ayhan;10 November 1994 (aged 26);37;4;Sassuolo;Turkey;7000000.0
23;GK;Uğurcan Çakır;5 April 1996 (aged 25);8;0;Trabzonspor;Turkey;12000000.0
24;MF;Kerem Aktürkoğlu;21 October 1998 (aged 22);1;0;Galatasaray;Turkey;275000.0
25;DF;Mert Müldür;3 April 1999 (aged 22);8;0;Sassuolo;Turkey;8000000.0
26;MF;Halil Dervişoğlu;8 December 1999 (aged 21);2;1;Galatasaray;Turkey;1866666.6666666667
1;GK;Wayne Hennessey;24 January 1987 (aged 34);96;0;Crystal Palace;Wales;2200000.0
2;DF;Chris Gunter;21 July 1989 (aged 31);101;0;Charlton Athletic;Wales;1075000.0
3;DF;Neco Williams;13 April 2001 (aged 20);11;1;Liverpool;Wales;6000000.0
4;DF;Ben Davies;24 April 1993 (aged 28);60;0;Tottenham Hotspur;Wales;17500000.0
5;DF;Tom Lockyer;3 December 1994 (aged 26);13;0;Luton Town;Wales;866666.6666666666
6;DF;Joe Rodon;22 October 1997 (aged 23);14;0;Tottenham Hotspur;Wales;5375000.0
7;MF;Joe Allen;14 March 1990 (aged 31);59;2;Stoke City;Wales;4533333.333333333
8;MF;Harry Wilson;22 March 1997 (aged 24);26;5;Cardiff City;Wales;17375000.0
9;FW;Tyler Roberts;12 January 1999 (aged 22);14;0;Leeds United;Wales;3733333.3333333335
10;MF;Aaron Ramsey;26 December 1990 (aged 30);63;16;Juventus;Wales;26250000.0
11;FW;Gareth Bale;16 July 1989 (aged 31);92;33;Tottenham Hotspur;Wales;26250000.0
12;GK;Danny Ward;22 June 1993 (aged 27);13;0;Leicester City;Wales;6500000.0
13;FW;Kieffer Moore;8 August 1992 (aged 28);17;5;Cardiff City;Wales;2375000.0
14;DF;Connor Roberts;23 September 1995 (aged 25);26;1;Swansea City;Wales;3600000.0
15;DF;Ethan Ampadu;14 September 2000 (aged 20);23;0;Sheffield United;Wales;9333333.333333334
16;MF;Joe Morrell;3 January 1997 (aged 24);15;0;Luton Town;Wales;450000.0
17;DF;Rhys Norrington-Davies;22 April 1999 (aged 22);5;0;Stoke City;Wales;350000.0
18;MF;Jonny Williams;9 October 1993 (aged 27);28;1;Cardiff City;Wales;900000.0
19;MF;David Brooks;8 July 1997 (aged 23);18;2;Bournemouth;Wales;20666666.666666668
20;MF;Daniel James;10 November 1997 (aged 23);20;4;Manchester United;Wales;19166666.666666668
21;GK;Adam Davies;17 July 1992 (aged 28);2;0;Stoke City;Wales;
22;DF;Chris Mepham;5 November 1997 (aged 23);18;0;Bournemouth;Wales;8000000.0
23;MF;Dylan Levitt;17 November 2000 (aged 20);8;0;Istra 1961;Wales;675000.0
24;DF;Ben Cabango;30 May 2000 (aged 21);3;0;Swansea City;Wales;3000000.0
25;MF;Rubin Colwill;27 April 2002 (aged 19);1;0;Cardiff City;Wales;
26;MF;Matthew Smith;22 November 1999 (aged 21);14;0;Doncaster Rovers;Wales;950000.0
1;GK;Thibaut Courtois;11 May 1992 (aged 29);84;0;Real Madrid;Belgium;60750000.0
2;DF;Toby Alderweireld;2 March 1989 (aged 32);109;5;Tottenham Hotspur;Belgium;24666666.666666668
3;DF;Thomas Vermaelen;14 November 1985 (aged 35);80;2;Vissel Kobe;Belgium;1400000.0
4;DF;Dedryck Boyata;28 November 1990 (aged 30);23;0;Hertha BSC;Belgium;9000000.0
5;DF;Jan Vertonghen;24 April 1987 (aged 34);127;9;Benfica;Belgium;12250000.0
6;MF;Axel Witsel;12 January 1989 (aged 32);110;10;Borussia Dortmund;Belgium;19250000.0
7;MF;Kevin De Bruyne;28 June 1991 (aged 29);80;21;Manchester City;Belgium;120000000.0
8;MF;Youri Tielemans;7 May 1997 (aged 24);39;4;Leicester City;Belgium;46333333.333333336
9;FW;Romelu Lukaku;13 May 1993 (aged 28);93;60;Internazionale;Belgium;82000000.0
10;MF;Eden Hazard;7 January 1991 (aged 30);107;32;Real Madrid;Belgium;80000000.0
11;MF;Yannick Carrasco;4 September 1993 (aged 27);46;6;Atlético Madrid;Belgium;23750000.0
12;GK;Simon Mignolet;6 March 1988 (aged 33);31;0;Club Brugge;Belgium;8500000.0
12;GK;Thomas Kaminski;23 October 1992 (aged 28);0;0;Blackburn Rovers;Belgium;2700000.0
13;GK;Matz Sels;26 February 1992 (aged 29);1;0;Strasbourg;Belgium;6500000.0
14;FW;Dries Mertens;6 May 1987 (aged 34);98;21;Napoli;Belgium;17666666.666666668
15;DF;Thomas Meunier;12 September 1991 (aged 29);47;7;Borussia Dortmund;Belgium;21000000.0
16;MF;Thorgan Hazard;29 March 1993 (aged 28);35;6;Borussia Dortmund;Belgium;32000000.0
17;MF;Hans Vanaken;24 August 1992 (aged 28);10;2;Club Brugge;Belgium;13500000.0
18;DF;Jason Denayer;28 June 1995 (aged 25);25;1;Lyon;Belgium;14000000.0
19;MF;Leander Dendoncker;15 April 1995 (aged 26);17;0;Wolverhampton Wanderers;Belgium;27625000.0
20;FW;Christian Benteke;3 December 1990 (aged 30);39;16;Crystal Palace;Belgium;9750000.0
21;DF;Timothy Castagne;5 December 1995 (aged 25);14;2;Leicester City;Belgium;19333333.333333332
22;MF;Nacer Chadli;2 August 1989 (aged 31);64;8;İstanbul Başakşehir;Belgium;7333333.333333333
23;FW;Michy Batshuayi;2 October 1993 (aged 27);34;22;Crystal Palace;Belgium;14500000.0
24;FW;Leandro Trossard;4 December 1994 (aged 26);7;2;Brighton & Hove Albion;Belgium;14000000.0
25;FW;Jérémy Doku;27 May 2002 (aged 19);8;2;Rennes;Belgium;13000000.0
26;MF;Dennis Praet;14 May 1994 (aged 27);11;1;Leicester City;Belgium;20500000.0
1;GK;Kasper Schmeichel;5 November 1986 (aged 34);65;0;Leicester City;Denmark;8750000.0
2;DF;Joachim Andersen;31 May 1996 (aged 25);5;0;Fulham;Denmark;16333333.333333334
3;DF;Jannik Vestergaard;3 August 1992 (aged 28);22;1;Southampton;Denmark;13500000.0
6;DF;Andreas Christensen;10 April 1996 (aged 25);41;1;Chelsea;Denmark;24000000.0
7;MF;Robert Skov;20 May 1996 (aged 25);10;5;1899 Hoffenheim;Denmark;12250000.0
8;MF;Thomas Delaney;3 September 1991 (aged 29);54;5;Borussia Dortmund;Denmark;17500000.0
9;FW;Martin Braithwaite;5 June 1991 (aged 30);50;9;Barcelona;Denmark;9666666.666666666
10;MF;Christian Eriksen;14 February 1992 (aged 29);108;36;Internazionale;Denmark;59600000.0
11;FW;Andreas Skov Olsen;29 December 1999 (aged 21);6;3;Bologna;Denmark;6566666.666666667
12;FW;Kasper Dolberg;6 October 1997 (aged 23);26;7;Nice;Denmark;19666666.666666668
13;DF;Mathias Jørgensen;23 April 1990 (aged 31);35;2;Copenhagen;Denmark;2350000.0
14;FW;Mikkel Damsgaard;3 July 2000 (aged 20);3;2;Sampdoria;Denmark;6333333.333333333
15;MF;Christian Nørgaard;10 March 1994 (aged 27);4;0;Brentford;Denmark;3733333.3333333335
16;GK;Jonas Lössl;1 February 1989 (aged 32);1;0;Midtjylland;Denmark;3400000.0
17;DF;Jens Stryger Larsen;21 February 1991 (aged 30);36;2;Udinese;Denmark;2933333.3333333335
18;MF;Daniel Wass;31 May 1989 (aged 32);30;0;Valencia;Denmark;9250000.0
19;FW;Jonas Wind;7 February 1999 (aged 22);7;3;Copenhagen;Denmark;3100000.0
20;FW;Yussuf Poulsen;15 June 1994 (aged 26);54;8;RB Leipzig;Denmark;26333333.333333332
21;FW;Andreas Cornelius;16 March 1993 (aged 28);28;6;Parma;Denmark;9750000.0
22;GK;Frederik Rønnow;4 August 1992 (aged 28);8;0;Schalke 04;Denmark;2950000.0
23;MF;Pierre-Emile Højbjerg;5 August 1995 (aged 25);41;4;Tottenham Hotspur;Denmark;21750000.0
24;MF;Mathias Jensen;1 January 1996 (aged 25);6;1;Brentford;Denmark;3550000.0
25;MF;Anders Christiansen;8 June 1990 (aged 31);4;0;Malmö FF;Denmark;1700000.0
26;DF;Nicolai Boilesen;16 February 1992 (aged 29);20;1;Copenhagen;Denmark;733333.3333333334
1;GK;Lukas Hradecky;24 November 1989 (aged 31);65;0;Bayer Leverkusen;Finland;9000000.0
2;DF;Paulus Arajuuri;15 June 1988 (aged 32);51;3;Pafos;Finland;391666.6666666667
3;DF;Daniel O'Shaughnessy;14 September 1994 (aged 26);11;0;HJK;Finland;250000.0
4;DF;Joona Toivio;10 March 1988 (aged 33);73;3;BK Häcken;Finland;683333.3333333334
5;DF;Leo Väisänen;23 July 1997 (aged 23);8;0;IF Elfsborg;Finland;866666.6666666666
6;MF;Glen Kamara;28 October 1995 (aged 25);31;1;Rangers;Finland;1300000.0
7;MF;Robert Taylor;21 October 1994 (aged 26);19;1;Brann;Finland;500000.0
8;MF;Robin Lod;17 April 1993 (aged 28);43;4;Minnesota United FC;Finland;1862500.0
9;MF;Fredrik Jensen;9 September 1997 (aged 23);18;7;FC Augsburg;Finland;2000000.0
10;FW;Teemu Pukki;29 March 1990 (aged 31);91;30;Norwich City;Finland;7250000.0
11;MF;Rasmus Schüller;18 June 1991 (aged 29);49;0;Djurgårdens IF;Finland;400000.0
12;GK;Jesse Joronen;21 March 1993 (aged 28);14;0;Brescia;Finland;4000000.0
13;MF;Pyry Soiri;22 September 1994 (aged 26);31;5;Esbjerg;Finland;408333.3333333333
14;MF;Tim Sparv;20 February 1987 (aged 34);81;1;AEL;Finland;250000.0
15;DF;Niko Hämäläinen;5 March 1997 (aged 24);7;0;Queens Park Rangers;Finland;341666.6666666667
16;DF;Thomas Lam;18 December 1993 (aged 27);26;0;PEC Zwolle;Finland;800000.0
17;MF;Nikolai Alho;12 March 1993 (aged 28);12;0;MTK Budapest;Finland;350000.0
18;DF;Jere Uronen;13 July 1994 (aged 26);49;1;Genk;Finland;2800000.0
19;MF;Joni Kauko;12 July 1990 (aged 30);25;0;Esbjerg;Finland;441666.6666666667
20;FW;Joel Pohjanpalo;13 September 1994 (aged 26);42;9;Union Berlin;Finland;1400000.0
21;FW;Lassi Lappalainen;24 August 1998 (aged 22);8;0;CF Montréal;Finland;641666.6666666666
22;DF;Jukka Raitala;15 September 1988 (aged 32);52;0;Minnesota United FC;Finland;616666.6666666666
23;GK;Anssi Jaakkola;13 March 1987 (aged 34);3;0;Bristol Rovers;Finland;300000.0
24;MF;Onni Valakari;18 August 1999 (aged 21);5;1;Pafos;Finland;425000.0
25;DF;Robert Ivanov;19 September 1994 (aged 26);4;0;Warta Poznań;Finland;300000.0
26;FW;Marcus Forss;18 June 1999 (aged 21);5;1;Brentford;Finland;1866666.6666666667
1;GK;Anton Shunin;27 January 1987 (aged 34);12;0;Dynamo Moscow;Russia;2166666.6666666665
2;DF;Mário Fernandes;19 September 1990 (aged 30);29;5;CSKA Moscow;Russia;21333333.333333332
6;MF;Denis Cheryshev;26 December 1990 (aged 30);30;12;Valencia;Russia;4400000.0
9;FW;Aleksandr Sobolev;7 March 1997 (aged 24);6;3;Spartak Moscow;Russia;5000000.0
10;FW;Anton Zabolotny;13 June 1991 (aged 29);13;1;Sochi;Russia;1166666.6666666667
11;MF;Roman Zobnin;11 February 1994 (aged 27);35;0;Spartak Moscow;Russia;11125000.0
15;MF;Aleksei Miranchuk;17 October 1995 (aged 25);33;5;Atalanta;Russia;16833333.333333332
17;MF;Aleksandr Golovin;30 May 1996 (aged 25);38;5;Monaco;Russia;20000000.0
19;MF;Rifat Zhemaletdinov;20 September 1996 (aged 24);4;0;Lokomotiv Moscow;Russia;3100000.0
21;MF;Daniil Fomin;2 March 1997 (aged 24);4;0;Dynamo Moscow;Russia;3333333.3333333335
22;FW;Artem Dzyuba;22 August 1988 (aged 32);52;29;Zenit Saint Petersburg;Russia;12333333.333333334
25;MF;Denis Makarov;18 February 1998 (aged 23);0;0;Rubin Kazan;Russia;1418750.0
26;MF;Maksim Mukhin;4 November 2001 (aged 19);2;0;Lokomotiv Moscow;Russia;212500.0
1;GK;Alexander Schlager;1 February 1996 (aged 25);6;0;LASK;Austria;4000000.0
2;DF;Andreas Ulmer;30 October 1985 (aged 35);24;0;Red Bull Salzburg;Austria;800000.0
3;DF;Aleksandar Dragović;6 March 1991 (aged 30);90;2;Bayer Leverkusen;Austria;5850000.0
4;DF;Martin Hinteregger;7 September 1992 (aged 28);55;4;Eintracht Frankfurt;Austria;16833333.333333332
5;DF;Stefan Posch;14 May 1997 (aged 24);11;1;1899 Hoffenheim;Austria;12000000.0
6;MF;Stefan Ilsanker;18 May 1989 (aged 32);51;0;Eintracht Frankfurt;Austria;2200000.0
7;FW;Marko Arnautović;19 April 1989 (aged 32);88;26;Shanghai Port;Austria;13000000.0
8;DF;David Alaba;24 June 1992 (aged 28);81;14;Bayern Munich;Austria;58500000.0
9;MF;Marcel Sabitzer;17 March 1994 (aged 27);50;8;RB Leipzig;Austria;33500000.0
10;MF;Florian Grillitsch;7 August 1995 (aged 25);23;1;1899 Hoffenheim;Austria;22500000.0
11;FW;Michael Gregoritsch;18 April 1994 (aged 27);26;4;FC Augsburg;Austria;5000000.0
12;GK;Pavao Pervan;13 November 1987 (aged 33);7;0;VfL Wolfsburg;Austria;650000.0
13;GK;Daniel Bachmann;9 July 1994 (aged 26);2;0;Watford;Austria;350000.0
14;MF;Julian Baumgartlinger;2 January 1988 (aged 33);83;1;Bayer Leverkusen;Austria;2200000.0
15;DF;Philipp Lienhart;11 July 1996 (aged 24);4;0;SC Freiburg;Austria;10500000.0
16;MF;Christopher Trimmel;24 February 1987 (aged 34);13;0;Union Berlin;Austria;916666.6666666666
17;MF;Louis Schaub;29 December 1994 (aged 26);21;6;Luzern;Austria;2400000.0
18;MF;Alessandro Schöpf;7 February 1994 (aged 27);26;5;Schalke 04;Austria;3750000.0
19;MF;Christoph Baumgartner;1 August 1999 (aged 21);10;3;1899 Hoffenheim;Austria;10350000.0
20;MF;Karim Onisiwo;17 March 1992 (aged 29);11;1;Mainz 05;Austria;3500000.0
21;DF;Stefan Lainer;27 August 1992 (aged 28);29;1;Borussia Mönchengladbach;Austria;14500000.0
22;MF;Valentino Lazaro;24 March 1996 (aged 25);31;3;Borussia Mönchengladbach;Austria;15000000.0
23;MF;Xaver Schlager;28 September 1997 (aged 23);20;1;VfL Wolfsburg;Austria;14500000.0
24;MF;Konrad Laimer;27 May 1997 (aged 24);9;1;RB Leipzig;Austria;28000000.0
25;FW;Saša Kalajdžić;7 July 1997 (aged 23);7;3;VfB Stuttgart;Austria;3250000.0
26;DF;Marco Friedl;16 March 1998 (aged 23);3;0;Werder Bremen;Austria;4350000.0
1;GK;Maarten Stekelenburg;22 September 1982 (aged 38);59;0;Ajax;Netherlands;550000.0
2;DF;Joël Veltman;15 January 1992 (aged 29);27;2;Brighton & Hove Albion;Netherlands;6500000.0
3;DF;Matthijs de Ligt;12 August 1999 (aged 21);27;2;Juventus;Netherlands;70833333.33333333
4;DF;Nathan Aké;18 February 1995 (aged 26);20;2;Manchester City;Netherlands;34000000.0
5;DF;Owen Wijndal;28 November 1999 (aged 21);9;0;AZ;Netherlands;11333333.333333334
6;DF;Stefan de Vrij;5 February 1992 (aged 29);45;3;Internazionale;Netherlands;54333333.333333336
7;FW;Steven Berghuis;19 December 1991 (aged 29);26;2;Feyenoord;Netherlands;13000000.0
8;MF;Georginio Wijnaldum;11 November 1990 (aged 30);75;22;Liverpool;Netherlands;40000000.0
9;FW;Luuk de Jong;27 August 1990 (aged 30);36;8;Sevilla;Netherlands;10750000.0
10;FW;Memphis Depay;13 February 1994 (aged 27);64;26;Lyon;Netherlands;44500000.0
11;MF;Quincy Promes;4 January 1992 (aged 29);48;7;Spartak Moscow;Netherlands;17500000.0
12;DF;Patrick van Aanholt;29 August 1990 (aged 30);15;0;Crystal Palace;Netherlands;8750000.0
13;GK;Tim Krul;3 April 1988 (aged 33);15;0;Norwich City;Netherlands;3500000.0
14;MF;Davy Klaassen;21 February 1993 (aged 28);24;5;Ajax;Netherlands;13000000.0
15;MF;Marten de Roon;29 March 1991 (aged 30);23;0;Atalanta;Netherlands;21666666.666666668
16;MF;Ryan Gravenberch;16 May 2002 (aged 19);5;1;Ajax;Netherlands;11333333.333333334
17;DF;Daley Blind;9 March 1990 (aged 31);78;2;Ajax;Netherlands;20000000.0
18;FW;Donyell Malen;19 January 1999 (aged 22);9;2;PSV Eindhoven;Netherlands;25000000.0
19;FW;Wout Weghorst;7 August 1992 (aged 28);6;1;VfL Wolfsburg;Netherlands;25750000.0
21;MF;Frenkie de Jong;12 May 1997 (aged 24);27;1;Barcelona;Netherlands;71000000.0
22;DF;Denzel Dumfries;18 April 1996 (aged 25);19;0;PSV Eindhoven;Netherlands;14000000.0
23;GK;Marco Bizot;10 March 1991 (aged 30);1;0;AZ;Netherlands;6000000.0
24;MF;Teun Koopmeiners;28 February 1998 (aged 23);1;0;AZ;Netherlands;15000000.0
25;MF;Jurriën Timber;17 June 2001 (aged 19);2;0;Ajax;Netherlands;2340000.0
26;FW;Cody Gakpo;7 May 1999 (aged 22);0;0;PSV Eindhoven;Netherlands;8400000.0
1;GK;Stole Dimitrievski;25 December 1993 (aged 27);42;0;Rayo Vallecano;North Macedonia;1950000.0
2;DF;Egzon Bejtulai;7 January 1994 (aged 27);21;0;Shkëndija;North Macedonia;591666.6666666666
3;DF;Gjoko Zajkov;10 February 1995 (aged 26);17;1;Charleroi;North Macedonia;300000.0
4;DF;Kire Ristevski;22 October 1990 (aged 30);47;0;Újpest;North Macedonia;400000.0
5;MF;Arijan Ademi;29 May 1991 (aged 30);21;4;Dinamo Zagreb;North Macedonia;5833333.333333333
6;DF;Visar Musliu;13 November 1994 (aged 26);31;1;Fehérvár;North Macedonia;833333.3333333334
7;FW;Ivan Trichkovski;18 April 1987 (aged 34);64;7;AEK Larnaca;North Macedonia;716666.6666666666
8;MF;Ezgjan Alioski;12 February 1992 (aged 29);44;8;Leeds United;North Macedonia;3875000.0
9;FW;Aleksandar Trajkovski;5 September 1992 (aged 28);65;18;Mallorca;North Macedonia;1000000.0
10;FW;Goran Pandev;27 July 1983 (aged 37);119;37;Genoa;North Macedonia;375000.0
11;MF;Ferhan Hasani;18 June 1990 (aged 30);41;2;Partizani;North Macedonia;566666.6666666666
12;GK;Risto Jankov;5 September 1998 (aged 22);0;0;Rabotnički;North Macedonia;300000.0
13;DF;Stefan Ristovski;12 February 1992 (aged 29);65;2;Dinamo Zagreb;North Macedonia;3350000.0
14;DF;Darko Velkovski;21 June 1995 (aged 25);27;1;Rijeka;North Macedonia;1016666.6666666666
15;MF;Tihomir Kostadinov;4 March 1996 (aged 25);10;0;Ružomberok;North Macedonia;383333.3333333333
16;MF;Boban Nikolov;28 July 1994 (aged 26);34;2;Lecce;North Macedonia;737500.0
17;MF;Enis Bardhi;2 July 1995 (aged 25);34;6;Levante;North Macedonia;17333333.333333332
18;FW;Vlatko Stojanovski;23 April 1997 (aged 24);8;2;Chambly;North Macedonia;450000.0
19;FW;Krste Velkoski;20 February 1988 (aged 33);16;0;Sarajevo;North Macedonia;200000.0
20;MF;Stefan Spirovski;23 August 1990 (aged 30);40;1;AEK Larnaca;North Macedonia;425000.0
21;MF;Eljif Elmas;24 September 1999 (aged 21);27;7;Napoli;North Macedonia;17166666.666666668
22;GK;Damjan Shishkovski;18 March 1995 (aged 26);6;0;Doxa Katokopias;North Macedonia;300000.0
23;FW;Marjan Radeski;10 February 1995 (aged 26);17;1;Akademija Pandev;North Macedonia;341666.6666666667
24;FW;Daniel Avramovski;20 February 1995 (aged 26);6;0;Kayserispor;North Macedonia;616666.6666666666
25;MF;Darko Churlinov;11 July 2000 (aged 20);3;1;VfB Stuttgart;North Macedonia;712500.0
26;MF;Milan Ristovski;8 April 1998 (aged 23);1;1;Spartak Trnava;North Macedonia;375000.0
1;GK;Heorhiy Bushchan;31 May 1994 (aged 27);6;0;Dynamo Kyiv;Ukraine;1900000.0
2;DF;Eduard Sobol;20 April 1995 (aged 26);20;0;Club Brugge;Ukraine;3566666.6666666665
3;MF;Heorhiy Sudakov;1 September 2002 (aged 18);3;0;Shakhtar Donetsk;Ukraine;100000.0
4;DF;Serhiy Kryvtsov;15 March 1991 (aged 30);23;0;Shakhtar Donetsk;Ukraine;4500000.0
5;MF;Serhiy Sydorchuk;2 May 1991 (aged 30);36;3;Dynamo Kyiv;Ukraine;3833333.3333333335
