No.,Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
14,DF,Connor Roberts,23 September 1995 (aged 25),26,1,Swansea City,Wales
15,DF,Ethan Ampadu,14 September 2000 (aged 20),23,0,Sheffield United,Wales
16,MF,Joe Morrell,3 January 1997 (aged 24),15,0,Luton Town,Wales
17,DF,Rhys Norrington-Davies,22 April 1999 (aged 22),5,0,Stoke City,Wales
18,MF,Jonny Williams,9 October 1993 (aged 27),28,1,Cardiff City,Wales
19,MF,David Brooks,8 July 1997 (aged 23),18,2,Bournemouth,Wales
20,MF,Daniel James,10 November 1997 (aged 23),20,4,Manchester United,Wales
21,GK,Adam Davies,17 July 1992 (aged 28),2,0,Stoke City,Wales
22,DF,Chris Mepham,5 November 1997 (aged 23),18,0,Bournemouth,Wales
23,MF,Dylan Levitt,17 November 2000 (aged 20),8,0,Istra 1961,Wales
24,DF,Ben Cabango,30 May 2000 (aged 21),3,0,Swansea City,Wales
25,MF,Rubin Colwill,27 April 2002 (aged 19),1,0,Cardiff City,Wales
26,MF,Matthew Smith,22 November 1999 (aged 21),14,0,Doncaster Rovers,Wales
1,GK,Thibaut Courtois,11 May 1992 (aged 29),84,0,Real Madrid,Belgium
2,DF,Toby Alderweireld,2 March 1989 (aged 32),109,5,Tottenham Hotspur,Belgium
3,DF,Thomas Vermaelen,14 November 1985 (aged 35),80,2,Vissel Kobe,Belgium
4,DF,Dedryck Boyata,28 November 1990 (aged 30),23,0,Hertha BSC,Belgium
5,DF,Jan Vertonghen,24 April 1987 (aged 34),127,9,Benfica,Belgium
6,MF,Axel Witsel,12 January 1989 (aged 32),110,10,Borussia Dortmund,Belgium
7,MF,Kevin De Bruyne,28 June 1991 (aged 29),80,21,Manchester City,Belgium
8,MF,Youri Tielemans,7 May 1997 (aged 24),39,4,Leicester City,Belgium
9,FW,Romelu Lukaku,13 May 1993 (aged 28),93,60,Internazionale,Belgium
10,MF,Eden Hazard,7 January 1991 (aged 30),107,32,Real Madrid,Belgium
11,MF,Yannick Carrasco,4 September 1993 (aged 27),46,6,Atlético Madrid,Belgium
12,GK,Simon Mignolet,6 March 1988 (aged 33),31,0,Club Brugge,Belgium
12,GK,Thomas Kaminski,23 October 1992 (aged 28),0,0,Blackburn Rovers,Belgium
13,GK,Matz Sels,26 February 1992 (aged 29),1,0,Strasbourg,Belgium
14,FW,Dries Mertens,6 May 1987 (aged 34),98,21,Napoli,Belgium
15,DF,Thomas Meunier,12 September 1991 (aged 29),47,7,Borussia Dortmund,Belgium
16,MF,Thorgan Hazard,29 March 1993 (aged 28),35,6,Borussia Dortmund,Belgium
17,MF,Hans Vanaken,24 August 1992 (aged 28),10,2,Club Brugge,Belgium
18,DF,Jason Denayer,28 June 1995 (aged 25),25,1,Lyon,Belgium
19,MF,Leander Dendoncker,15 April 1995 (aged 26),17,0,Wolverhampton Wanderers,Belgium
20,FW,Christian Benteke,3 December 1990 (aged 30),39,16,Crystal Palace,Belgium
21,DF,Timothy Castagne,5 December 1995 (aged 25),14,2,Leicester City,Belgium
22,MF,Nacer Chadli,2 August 1989 (aged 31),64,8,İstanbul Başakşehir,Belgium
23,FW,Michy Batshuayi,2 October 1993 (aged 27),34,22,Crystal Palace,Belgium
24,FW,Leandro Trossard,4 December 1994 (aged 26),7,2,Brighton & Hove Albion,Belgium
25,FW,Jérémy Doku,27 May 2002 (aged 19),8,2,Rennes,Belgium
26,MF,Dennis Praet,14 May 1994 (aged 27),11,1,Leicester City,Belgium
1,GK,Kasper Schmeichel,5 November 1986 (aged 34),65,0,Leicester City,Denmark
2,DF,Joachim Andersen,31 May 1996 (aged 25),5,0,Fulham,Denmark
3,DF,Jannik Vestergaard,3 August 1992 (aged 28),22,1,Southampton,Denmark
4,DF,Simon Kjær,26 March 1989 (aged 32),107,3,Milan,Denmark
5,DF,Joakim Mæhle,20 May 1997 (aged 24),10,2,Atalanta,Denmark
6,DF,Andreas Christensen,10 April 1996 (aged 25),41,1,Chelsea,Denmark
7,MF,Robert Skov,20 May 1996 (aged 25),10,5,1899 Hoffenheim,Denmark
8,MF,Thomas Delaney,3 September 1991 (aged 29),54,5,Borussia Dortmund,Denmark
9,FW,Martin Braithwaite,5 June 1991 (aged 30),50,9,Barcelona,Denmark
10,MF,Christian Eriksen,14 February 1992 (aged 29),108,36,Internazionale,Denmark
11,FW,Andreas Skov Olsen,29 December 1999 (aged 21),6,3,Bologna,Denmark
12,FW,Kasper Dolberg,6 October 1997 (aged 23),26,7,Nice,Denmark
13,DF,Mathias Jørgensen,23 April 1990 (aged 31),35,2,Copenhagen,Denmark
14,FW,Mikkel Damsgaard,3 July 2000 (aged 20),3,2,Sampdoria,Denmark
15,MF,Christian Nørgaard,10 March 1994 (aged 27),4,0,Brentford,Denmark
16,GK,Jonas Lössl,1 February 1989 (aged 32),1,0,Midtjylland,Denmark
17,DF,Jens Stryger Larsen,21 February 1991 (aged 30),36,2,Udinese,Denmark
18,MF,Daniel Wass,31 May 1989 (aged 32),30,0,Valencia,Denmark
19,FW,Jonas Wind,7 February 1999 (aged 22),7,3,Copenhagen,Denmark
20,FW,Yussuf Poulsen,15 June 1994 (aged 26),54,8,RB Leipzig,Denmark
21,FW,Andreas Cornelius,16 March 1993 (aged 28),28,6,Parma,Denmark
22,GK,Frederik Rønnow,4 August 1992 (aged 28),8,0,Schalke 04,Denmark
23,MF,Pierre-Emile Højbjerg,5 August 1995 (aged 25),41,4,Tottenham Hotspur,Denmark
24,MF,Mathias Jensen,1 January 1996 (aged 25),6,1,Brentford,Denmark
25,MF,Anders Christiansen,8 June 1990 (aged 31),4,0,Malmö FF,Denmark
26,DF,Nicolai Boilesen,16 February 1992 (aged 29),20,1,Copenhagen,Denmark
1,GK,Lukas Hradecky,24 November 1989 (aged 31),65,0,Bayer Leverkusen,Finland
2,DF,Paulus Arajuuri,15 June 1988 (aged 32),51,3,Pafos,Finland
3,DF,Daniel O'Shaughnessy,14 September 1994 (aged 26),11,0,HJK,Finland
4,DF,Joona Toivio,10 March 1988 (aged 33),73,3,BK Häcken,Finland
5,DF,Leo Väisänen,23 July 1997 (aged 23),8,0,IF Elfsborg,Finland
6,MF,Glen Kamara,28 October 1995 (aged 25),31,1,Rangers,Finland
7,MF,Robert Taylor,21 October 1994 (aged 26),19,1,Brann,Finland
8,MF,Robin Lod,17 April 1993 (aged 28),43,4,Minnesota United FC,Finland
9,MF,Fredrik Jensen,9 September 1997 (aged 23),18,7,FC Augsburg,Finland
10,FW,Teemu Pukki,29 March 1990 (aged 31),91,30,Norwich City,Finland
11,MF,Rasmus Schüller,18 June 1991 (aged 29),49,0,Djurgårdens IF,Finland
12,GK,Jesse Joronen,21 March 1993 (aged 28),14,0,Brescia,Finland
13,MF,Pyry Soiri,22 September 1994 (aged 26),31,5,Esbjerg,Finland
14,MF,Tim Sparv,20 February 1987 (aged 34),81,1,AEL,Finland
15,DF,Niko Hämäläinen,5 March 1997 (aged 24),7,0,Queens Park Rangers,Finland
16,DF,Thomas Lam,18 December 1993 (aged 27),26,0,PEC Zwolle,Finland
17,MF,Nikolai Alho,12 March 1993 (aged 28),12,0,MTK Budapest,Finland
18,DF,Jere Uronen,13 July 1994 (aged 26),49,1,Genk,Finland
19,MF,Joni Kauko,12 July 1990 (aged 30),25,0,Esbjerg,Finland
20,FW,Joel Pohjanpalo,13 September 1994 (aged 26),42,9,Union Berlin,Finland
21,FW,Lassi Lappalainen,24 August 1998 (aged 22),8,0,CF Montréal,Finland
22,DF,Jukka Raitala,15 September 1988 (aged 32),52,0,Minnesota United FC,Finland
23,GK,Anssi Jaakkola,13 March 1987 (aged 34),3,0,Bristol Rovers,Finland
24,MF,Onni Valakari,18 August 1999 (aged 21),5,1,Pafos,Finland
25,DF,Robert Ivanov,19 September 1994 (aged 26),4,0,Warta Poznań,Finland
26,FW,Marcus Forss,18 June 1999 (aged 21),5,1,Brentford,Finland
1,GK,Anton Shunin,27 January 1987 (aged 34),12,0,Dynamo Moscow,Russia
2,DF,Mário Fernandes,19 September 1990 (aged 30),29,5,CSKA Moscow,Russia
3,DF,Igor Diveyev,27 September 1999 (aged 21),4,0,CSKA Moscow,Russia
4,DF,Vyacheslav Karavayev,20 May 1995 (aged 26),13,2,Zenit Saint Petersburg,Russia
5,DF,Andrei Semyonov,24 March 1989 (aged 32),26,0,Akhmat Grozny,Russia
6,MF,Denis Cheryshev,26 December 1990 (aged 30),30,12,Valencia,Russia
7,MF,Magomed Ozdoyev,5 November 1992 (aged 28),32,4,Zenit Saint Petersburg,Russia
8,MF,Dmitri Barinov,11 September 1996 (aged 24),5,0,Lokomotiv Moscow,Russia
9,FW,Aleksandr Sobolev,7 March 1997 (aged 24),6,3,Spartak Moscow,Russia
10,FW,Anton Zabolotny,13 June 1991 (aged 29),13,1,Sochi,Russia
11,MF,Roman Zobnin,11 February 1994 (aged 27),35,0,Spartak Moscow,Russia
12,GK,Yury Dyupin,17 March 1988 (aged 33),0,0,Rubin Kazan,Russia
13,DF,Fyodor Kudryashov,5 April 1987 (aged 34),44,1,Antalyaspor,Russia
14,DF,Georgi Dzhikiya,21 November 1993 (aged 27),33,1,Spartak Moscow,Russia
15,MF,Aleksei Miranchuk,17 October 1995 (aged 25),33,5,Atalanta,Russia
16,GK,Matvei Safonov,25 February 1999 (aged 22),1,0,Krasnodar,Russia
17,MF,Aleksandr Golovin,30 May 1996 (aged 25),38,5,Monaco,Russia
18,MF,Yuri Zhirkov,20 August 1983 (aged 37),104,2,Zenit Saint Petersburg,Russia
19,MF,Rifat Zhemaletdinov,20 September 1996 (aged 24),4,0,Lokomotiv Moscow,Russia
20,MF,Aleksei Ionov,18 February 1989 (aged 32),35,4,Krasnodar,Russia
21,MF,Daniil Fomin,2 March 1997 (aged 24),4,0,Dynamo Moscow,Russia
22,FW,Artem Dzyuba,22 August 1988 (aged 32),52,29,Zenit Saint Petersburg,Russia
23,MF,Daler Kuzyayev,15 January 1993 (aged 28),34,2,Zenit Saint Petersburg,Russia
24,DF,Roman Yevgenyev,23 February 1999 (aged 22),1,0,Dynamo Moscow,Russia
25,MF,Denis Makarov,18 February 1998 (aged 23),0,0,Rubin Kazan,Russia
26,MF,Maksim Mukhin,4 November 2001 (aged 19),2,0,Lokomotiv Moscow,Russia
1,GK,Alexander Schlager,1 February 1996 (aged 25),6,0,LASK,Austria
2,DF,Andreas Ulmer,30 October 1985 (aged 35),24,0,Red Bull Salzburg,Austria
3,DF,Aleksandar Dragović,6 March 1991 (aged 30),90,2,Bayer Leverkusen,Austria
4,DF,Martin Hinteregger,7 September 1992 (aged 28),55,4,Eintracht Frankfurt,Austria
5,DF,Stefan Posch,14 May 1997 (aged 24),11,1,1899 Hoffenheim,Austria
6,MF,Stefan Ilsanker,18 May 1989 (aged 32),51,0,Eintracht Frankfurt,Austria
7,FW,Marko Arnautović,19 April 1989 (aged 32),88,26,Shanghai Port,Austria
8,DF,David Alaba,24 June 1992 (aged 28),81,14,Bayern Munich,Austria
9,MF,Marcel Sabitzer,17 March 1994 (aged 27),50,8,RB Leipzig,Austria
10,MF,Florian Grillitsch,7 August 1995 (aged 25),23,1,1899 Hoffenheim,Austria
11,FW,Michael Gregoritsch,18 April 1994 (aged 27),26,4,FC Augsburg,Austria
12,GK,Pavao Pervan,13 November 1987 (aged 33),7,0,VfL Wolfsburg,Austria
13,GK,Daniel Bachmann,9 July 1994 (aged 26),2,0,Watford,Austria
14,MF,Julian Baumgartlinger,2 January 1988 (aged 33),83,1,Bayer Leverkusen,Austria
15,DF,Philipp Lienhart,11 July 1996 (aged 24),4,0,SC Freiburg,Austria
16,MF,Christopher Trimmel,24 February 1987 (aged 34),13,0,Union Berlin,Austria
17,MF,Louis Schaub,29 December 1994 (aged 26),21,6,Luzern,Austria
18,MF,Alessandro Schöpf,7 February 1994 (aged 27),26,5,Schalke 04,Austria
19,MF,Christoph Baumgartner,1 August 1999 (aged 21),10,3,1899 Hoffenheim,Austria
20,MF,Karim Onisiwo,17 March 1992 (aged 29),11,1,Mainz 05,Austria
21,DF,Stefan Lainer,27 August 1992 (aged 28),29,1,Borussia Mönchengladbach,Austria
22,MF,Valentino Lazaro,24 March 1996 (aged 25),31,3,Borussia Mönchengladbach,Austria
23,MF,Xaver Schlager,28 September 1997 (aged 23),20,1,VfL Wolfsburg,Austria
24,MF,Konrad Laimer,27 May 1997 (aged 24),9,1,RB Leipzig,Austria
25,FW,Saša Kalajdžić,7 July 1997 (aged 23),7,3,VfB Stuttgart,Austria
26,DF,Marco Friedl,16 March 1998 (aged 23),3,0,Werder Bremen,Austria
1,GK,Maarten Stekelenburg,22 September 1982 (aged 38),59,0,Ajax,Netherlands
2,DF,Joël Veltman,15 January 1992 (aged 29),27,2,Brighton & Hove Albion,Netherlands
3,DF,Matthijs de Ligt,12 August 1999 (aged 21),27,2,Juventus,Netherlands
4,DF,Nathan Aké,18 February 1995 (aged 26),20,2,Manchester City,Netherlands
5,DF,Owen Wijndal,28 November 1999 (aged 21),9,0,AZ,Netherlands
6,DF,Stefan de Vrij,5 February 1992 (aged 29),45,3,Internazionale,Netherlands
7,FW,Steven Berghuis,19 December 1991 (aged 29),26,2,Feyenoord,Netherlands
8,MF,Georginio Wijnaldum,11 November 1990 (aged 30),75,22,Liverpool,Netherlands
9,FW,Luuk de Jong,27 August 1990 (aged 30),36,8,Sevilla,Netherlands
10,FW,Memphis Depay,13 February 1994 (aged 27),64,26,Lyon,Netherlands
11,MF,Quincy Promes,4 January 1992 (aged 29),48,7,Spartak Moscow,Netherlands
12,DF,Patrick van Aanholt,29 August 1990 (aged 30),15,0,Crystal Palace,Netherlands
13,GK,Tim Krul,3 April 1988 (aged 33),15,0,Norwich City,Netherlands
14,MF,Davy Klaassen,21 February 1993 (aged 28),24,5,Ajax,Netherlands
15,MF,Marten de Roon,29 March 1991 (aged 30),23,0,Atalanta,Netherlands
16,MF,Ryan Gravenberch,16 May 2002 (aged 19),5,1,Ajax,Netherlands
17,DF,Daley Blind,9 March 1990 (aged 31),78,2,Ajax,Netherlands
18,FW,Donyell Malen,19 January 1999 (aged 22),9,2,PSV Eindhoven,Netherlands
19,FW,Wout Weghorst,7 August 1992 (aged 28),6,1,VfL Wolfsburg,Netherlands
21,MF,Frenkie de Jong,12 May 1997 (aged 24),27,1,Barcelona,Netherlands
22,DF,Denzel Dumfries,18 April 1996 (aged 25),19,0,PSV Eindhoven,Netherlands
23,GK,Marco Bizot,10 March 1991 (aged 30),1,0,AZ,Netherlands
24,MF,Teun Koopmeiners,28 February 1998 (aged 23),1,0,AZ,Netherlands
25,MF,Jurriën Timber,17 June 2001 (aged 19),2,0,Ajax,Netherlands
26,FW,Cody Gakpo,7 May 1999 (aged 22),0,0,PSV Eindhoven,Netherlands
1,GK,Stole Dimitrievski,25 December 1993 (aged 27),42,0,Rayo Vallecano,North Macedonia
2,DF,Egzon Bejtulai,7 January 1994 (aged 27),21,0,Shkëndija,North Macedonia
3,DF,Gjoko Zajkov,10 February 1995 (aged 26),17,1,Charleroi,North Macedonia
4,DF,Kire Ristevski,22 October 1990 (aged 30),47,0,Újpest,North Macedonia
5,MF,Arijan Ademi,29 May 1991 (aged 30),21,4,Dinamo Zagreb,North Macedonia
6,DF,Visar Musliu,13 November 1994 (aged 26),31,1,Fehérvár,North Macedonia
7,FW,Ivan Trichkovski,18 April 1987 (aged 34),64,7,AEK Larnaca,North Macedonia
8,MF,Ezgjan Alioski,12 February 1992 (aged 29),44,8,Leeds United,North Macedonia
9,FW,Aleksandar Trajkovski,5 September 1992 (aged 28),65,18,Mallorca,North Macedonia
10,FW,Goran Pandev,27 July 1983 (aged 37),119,37,Genoa,North Macedonia
11,MF,Ferhan Hasani,18 June 1990 (aged 30),41,2,Partizani,North Macedonia
12,GK,Risto Jankov,5 September 1998 (aged 22),0,0,Rabotnički,North Macedonia
13,DF,Stefan Ristovski,12 February 1992 (aged 29),65,2,Dinamo Zagreb,North Macedonia
14,DF,Darko Velkovski,21 June 1995 (aged 25),27,1,Rijeka,North Macedonia
15,MF,Tihomir Kostadinov,4 March 1996 (aged 25),10,0,Ružomberok,North Macedonia
16,MF,Boban Nikolov,28 July 1994 (aged 26),34,2,Lecce,North Macedonia
17,MF,Enis Bardhi,2 July 1995 (aged 25),34,6,Levante,North Macedonia
18,FW,Vlatko Stojanovski,23 April 1997 (aged 24),8,2,Chambly,North Macedonia
19,FW,Krste Velkoski,20 February 1988 (aged 33),16,0,Sarajevo,North Macedonia
20,MF,Stefan Spirovski,23 August 1990 (aged 30),40,1,AEK Larnaca,North Macedonia
21,MF,Eljif Elmas,24 September 1999 (aged 21),27,7,Napoli,North Macedonia
22,GK,Damjan Shishkovski,18 March 1995 (aged 26),6,0,Doxa Katokopias,North Macedonia
23,FW,Marjan Radeski,10 February 1995 (aged 26),17,1,Akademija Pandev,North Macedonia
24,FW,Daniel Avramovski,20 February 1995 (aged 26),6,0,Kayserispor,North Macedonia
25,MF,Darko Churlinov,11 July 2000 (aged 20),3,1,VfB Stuttgart,North Macedonia
26,MF,Milan Ristovski,8 April 1998 (aged 23),1,1,Spartak Trnava,North Macedonia
1,GK,Heorhiy Bushchan,31 May 1994 (aged 27),6,0,Dynamo Kyiv,Ukraine
2,DF,Eduard Sobol,20 April 1995 (aged 26),20,0,Club Brugge,Ukraine
3,MF,Heorhiy Sudakov,1 September 2002 (aged 18),3,0,Shakhtar Donetsk,Ukraine
4,DF,Serhiy Kryvtsov,15 March 1991 (aged 30),23,0,Shakhtar Donetsk,Ukraine
5,MF,Serhiy Sydorchuk,2 May 1991 (aged 30),36,3,Dynamo Kyiv,Ukraine
6,MF,Taras Stepanenko,8 August 1989 (aged 31),62,3,Shakhtar Donetsk,Ukraine
7,FW,Andriy Yarmolenko,23 October 1989 (aged 31),94,40,West Ham United,Ukraine
8,MF,Ruslan Malinovskyi,4 May 1993 (aged 28),37,6,Atalanta,Ukraine
9,FW,Roman Yaremchuk,27 November 1995 (aged 25),24,8,Gent,Ukraine
10,MF,Mykola Shaparenko,4 October 1998 (aged 22),12,0,Dynamo Kyiv,Ukraine
11,MF,Marlos,7 June 1988 (aged 33),25,1,Shakhtar Donetsk,Ukraine
12,GK,Andriy Pyatov,28 June 1984 (aged 36),97,0,Shakhtar Donetsk,Ukraine
13,DF,Illya Zabarnyi,1 September 2002 (aged 18),8,0,Dynamo Kyiv,Ukraine
14,MF,Yevhenii Makarenko,21 May 1991 (aged 30),12,0,Kortrijk,Ukraine
15,MF,Viktor Tsyhankov,15 November 1997 (aged 23),26,6,Dynamo Kyiv,Ukraine
16,DF,Vitaliy Mykolenko,29 May 1999 (aged 22),15,0,Dynamo Kyiv,Ukraine
17,DF,Oleksandr Zinchenko,15 December 1996 (aged 24),39,6,Manchester City,Ukraine
18,MF,Roman Bezus,26 September 1990 (aged 30),23,5,Gent,Ukraine
19,FW,Artem Besedin,31 March 1996 (aged 25),16,2,Dynamo Kyiv,Ukraine
20,FW,Oleksandr Zubkov,3 August 1996 (aged 24),11,1,Ferencváros,Ukraine
21,DF,Oleksandr Karavayev,2 June 1992 (aged 29),33,1,Dynamo Kyiv,Ukraine
22,DF,Mykola Matviyenko,2 May 1996 (aged 25),36,0,Shakhtar Donetsk,Ukraine
23,GK,Anatoliy Trubin,1 August 2001 (aged 19),2,0,Shakhtar Donetsk,Ukraine
24,DF,Oleksandr Tymchyk,20 January 1997 (aged 24),4,0,Dynamo Kyiv,Ukraine
25,DF,Denys Popov,17 February 1999 (aged 22),1,0,Dynamo Kyiv,Ukraine
26,FW,Artem Dovbyk,21 June 1997 (aged 23),2,0,Dnipro-1,Ukraine
